transaction_id,status,mindshare_category,note
w0a6oorP5nInL4adareKHmyEgLMEROFR7RawV,excluded,manual-personal,set by merchant in web review
7oejNNJvEySroPKYKdmqhy9NJ8kzm5s0Q8PXY,excluded,manual-personal,set by merchant in web review
04p3bbvqNLtmBM6O6qxdIgXKjMyvRAfAr9Lqj,excluded,manual-personal,set by merchant in web review
QvzLwwADrnfRoPmkm3KdivVN6zDN0rf9A9XD0,excluded,manual-personal,set by merchant in web review
dEd8AAMZortDgwQ0QA63f0P6ay46kwHoAodgd,excluded,manual-personal,set by merchant in web review
j6P7vvD9aZUpRzPdPqejHKMR3AjRvnsvEvLDZ,excluded,manual-personal,set by merchant in web review
7oejNNJvEySroPKYKdmqhy9NJ8kzm5s0Q8PnK,excluded,manual-personal,set by merchant in web review
65p0zzxAQ3fjAzeoenRxCEv3bD83oaiAnA3d8,excluded,manual-personal,set by merchant in web review
6JA6X5V9oaCe6855gnkrCEp6KvmP50cYXe7xj,included,manual-mindshare,set by merchant in web review
8Z0DemVOowI5nrmmDw0kfjJ437LZrNUxvA6DJ,included,manual-mindshare,set by merchant in web review
LrQ5N3oLvwHLb8KKadXzUyxgKPvVz6u8XLzeR,excluded,manual-personal,set by merchant in web review
NawbpKo1jLC46NAAv5Eqcpk9Xbk4N6U36XAZd,excluded,manual-personal,set by merchant in web review
4aKdX8VzOrCbBp88LKVQhwoY9vgqy4CRnZL3k,excluded,manual-personal,set by merchant in web review
vM1dbv37BLuQjVpp0rdOf5waAK1rpmiV0vybA,excluded,manual-personal,set by merchant in web review
E6zV11w7Q5UYaExJxQMrFRPDB4O1a8fQpdYog,excluded,manual-personal,set by merchant in web review
Ey7rp6oYqvfxXnDDkQRgsRPNqaLjAnHQnNAXQ,excluded,manual-personal,set by merchant in web review
AP5AXQVDLyf68Add9XOLuJVQLBvdRnFMnOpEo,excluded,manual-personal,set by merchant in web review
65p0zzxAQ3fjAzeoenRxCEp5zk46qxswaA5X4,excluded,manual-personal,set by merchant in web review
q3AQjjmd9VidxYQyQ80VfwLrqKMroNH1R1b8g,excluded,manual-personal,set by merchant in web review
VazByy43PLu5VnDoDLjAt0YEaJm6VDF4rnqg5,excluded,manual-personal,set by merchant in web review
ryvnxxkwBOfnd9QRQ8jmHxpDRyw0ndHVBryD7,excluded,manual-personal,set by merchant in web review
BnzgQQMo0JHLY9qoqKDrUv5zZD3z6PfvmvAw0,excluded,manual-personal,set by merchant in web review
XJzyBBxKk1Ck4Raga1eDtB8DzJmX4VUd4zpLL,excluded,manual-personal,set by merchant in web review
KjRZYBo6AdfQx8yy46NqfEoD5X6A8VcNgVPp3,excluded,manual-personal,set by merchant in web review
jE9JO65LxbiPOQLLgqnNiKoQ7M5z8gs3nzpLy,excluded,manual-personal,set by merchant in web review
vM1dbv37BLuQjVpp0rdOf5wqgZwLr9UgqyaEE,excluded,manual-personal,set by merchant in web review
LrQ5N3oLvwHLb8KKadXzUyx37OxLDKF8XLz1j,excluded,manual-personal,set by merchant in web review
AP5AXQVDLyf68Add9XOLuJVybeVodpCjApLK7,excluded,manual-personal,set by merchant in web review
rMw9by1ZDJuQ7YrrK8k6fxpLRgpdk7fbL9QPR,excluded,manual-personal,set by merchant in web review
rMw9by1ZDJuQ7YrrK8k6fxpLRgpdk7fbL9QXR,excluded,manual-personal,set by merchant in web review
bQJApOgqknHeM0EEA4RLCED3aVDPB1s9zQMnX,excluded,manual-personal,set by merchant in web review
gEb4OnMdrJiLnQggxd7EUajPMejkE4HAjp0Jv,excluded,manual-personal,set by merchant in web review
vM1dbv37BLuQjVpp0rdOf5waAK1rpmiV0vyZA,excluded,manual-personal,set by merchant in web review
oYRbNm6owJiKzrvv0Ox3fdkz9ERVABt4bLzwO,excluded,manual-personal,set by merchant in web review
nPyMRRBEqgINvzyZy6kAIoQbZPMp4vuBAjyv9,excluded,manual-personal,set by merchant in web review
6JA6X5V9oaCe6855gnkrCEpjvqVYQrIwNperP,excluded,manual-personal,set by merchant in web review
LrQ5N3oLvwHLb8KKadXzUyxdPRoD4BTZBRLQq,excluded,manual-personal,set by merchant in web review
ep5jORzB0Jfw4VXX53p0FEmYvyVj9dInbNDOv,excluded,manual-personal,set by merchant in web review
yMBLbrkAKPuJgz114pL5FE0z9mZbQOIpgJzZa,excluded,manual-personal,set by merchant in web review
00q9X4exzAI6eX44Yqa5ugXY9R7J06HAvD7qE,excluded,manual-personal,set by merchant in web review
vM1dbv37BLuQjVpp0rdOf5waAK1rpmiV0vyeD,excluded,manual-personal,set by merchant in web review
xMq6bjKVy1ux4r11k76BsNJ6EZAVPMHOKV6bp,excluded,manual-personal,set by merchant in web review
ep5jORzB0Jfw4VXX53p0FEmYvyVj9dInbND3Y,excluded,manual-personal,set by merchant in web review
LrQ5N3oLvwHLb8KKadXzUyxdPRoD4BTZBRLXE,excluded,manual-personal,set by merchant in web review
BqovXnp1DKTqNXww6KemUvn95YRmy7U37ODVP,excluded,manual-personal,set by merchant in web review
34yMXJV9omH8eXJJ3ykNUgKAqYoL6DHoAOvEn,excluded,manual-personal,set by merchant in web review
yMBLbrkAKPuJgz114pL5FE0z9mZbQOIpgJzbV,excluded,manual-personal,set by merchant in web review
KjRZYBo6AdfQx8yy46NqfEoPX0j7QmIEmzVqP,excluded,manual-personal,set by merchant in web review
M4dmpyED06Hw0ekk194jF3kgY8E4qpfXpwNbM,excluded,manual-personal,set by merchant in web review
Ey7rp6oYqvfxXnDDkQRgsRPNqaLjAnHQnNAMQ,excluded,manual-personal,set by merchant in web review
3JpkxxryzPCAMz8a8yZpFgq4Or04aJsPXP9w4,excluded,manual-personal,set by merchant in web review
R0zD66v13pI8xeyJyjVKTaQmABX7xkhey9z7R,excluded,manual-personal,set by merchant in web review
8mprRR80zKt4Kp5b5wxBFjJD9BP87wCxyYLEQ,excluded,manual-personal,set by merchant in web review
yrJD33aBVdfBk6J8JpZYCE9PdgMPRwiRwR4Aj,excluded,manual-personal,set by merchant in web review
E6zV11w7Q5UYaExJxQMrFRPDB4O1a8fQpdYR7,excluded,manual-personal,set by merchant in web review
ZZzkee8ArqtvYe050qxbUynAZOXmN0sbR8AgP,excluded,manual-personal,set by merchant in web review
4aKdX8VzOrCbBp88LKVQhwo3p9r61ACqoLVXY,included,manual-mindshare,set by merchant in web review
AP5AXQVDLyf68Add9XOLuJVrpLZqYNtjApL7r,included,manual-mindshare,set by merchant in web review
gEb4OnMdrJiLnQggxd7EUajPMejkE4HAjp0ov,included,manual-mindshare,set by merchant in web review
